Date,Portfolio_Value
2021-06-15,168685.0896686065
2021-06-16,167352.0292568306
2021-06-17,166226.34219705831
2021-06-18,164338.15160036474
2021-06-21,166782.14647751368
2021-06-22,167740.15039569236
2021-06-23,167820.61215121846
2021-06-24,169192.40869661875
2021-06-25,169579.04043016216
2021-06-28,168402.33996377297
2021-06-29,168497.05623677763
2021-06-30,169268.5169474894
2021-07-01,169705.76806309927
2021-07-02,170350.61024146673
2021-07-06,169192.203223577
2021-07-07,168041.74190238942
2021-07-08,167007.56060341847
2021-07-09,168540.2913304167
2021-07-12,169037.87477689606
2021-07-13,169064.11406010858
2021-07-14,168099.12598877467
2021-07-15,166583.956555576
2021-07-16,164110.16356916184
2021-07-19,161703.86223138904
2021-07-20,162811.92476995938
2021-07-21,165489.62092678726
2021-07-22,165304.46171954952
2021-07-23,166807.27194506404
2021-07-26,167905.83695247368
2021-07-27,166191.6888420328
2021-07-28,167081.06604119707
2021-07-29,167647.00970959818
2021-07-30,166930.95052222957
2021-08-02,166638.51283228403
2021-08-03,167888.9629447709
2021-08-04,165938.0396748652
2021-08-05,167360.7250545896
2021-08-06,167761.30995327042
2021-08-09,166822.46064777285
2021-08-10,167324.9685983829
2021-08-11,167252.93496633816
2021-08-12,166829.99315465728
2021-08-13,166789.3189073318
2021-08-16,166504.63807833003
2021-08-17,165599.06350377123
2021-08-18,163415.28798884686
2021-08-19,163561.50155852851
2021-08-20,164795.53783931874
2021-08-23,167727.1140044606
2021-08-24,168239.76224637905
2021-08-25,168902.60508545555
2021-08-26,167252.55360242992
2021-08-27,169485.55495427555
2021-08-30,169771.83042777632
2021-08-31,169499.85362112778
2021-09-01,169339.03373205848
2021-09-02,170927.73576455808
2021-09-03,171046.84796233143
2021-09-07,170073.4742515742
2021-09-08,169410.6026502506
2021-09-09,168637.46433276328
2021-09-10,168020.80490992774
2021-09-13,169799.69555498575
2021-09-14,168595.08160493206
2021-09-15,171406.06365242595
2021-09-16,170664.27270997065
2021-09-17,168791.37066257108
