ticker,market_cap,sector,pe_ratio,pb_ratio,roe,debt_to_equity,avg_volume,current_price,ipo_date,momentum_12m,value_score,quality_score,momentum_score,composite_score
KMI,70013206528.0,Energy,22.970802,2.2470546,9.826,98.626,13743908.0,31.47,,0.0482972810960395,71.42857142857143,20.238095238095234,38.095238095238095,40.17857142857143
HAL,29570549760.0,Energy,23.423332,2.8045177,12.274000000000001,79.162,12536093.0,35.135,,0.017094797831179086,66.66666666666666,30.95238095238095,28.57142857142857,38.92857142857142
CMCSA,119392198656.0,Communication Services,6.07885,1.2186639,21.41,107.863,37648406.0,32.765,,-0.27276078181731117,98.80952380952381,34.523809523809526,4.761904761904762,38.69047619047619
PG,376003788800.0,Consumer Defensive,23.873888,7.1537814,31.562,68.719,10938554.0,160.91,,-0.10732388372303121,51.19047619047619,53.57142857142857,16.666666666666664,38.21428571428571
BMY,123845033984.0,Healthcare,17.582369,6.6763606,40.333998,274.414,14727657.0,60.835,,-0.10498257262110307,59.52380952380952,42.85714285714286,19.047619047619047,37.5
MRVL,68450148352.0,Technology,28.419014,4.8726153,18.040001,33.988,16726908.0,80.71,,-0.19569644995745616,52.38095238095238,58.333333333333336,9.523809523809524,37.32142857142857
OXY,46817202176.0,Energy,34.941177,1.673534,5.955,62.221,10111801.0,47.52,,-0.11403487221384301,61.904761904761905,27.38095238095238,14.285714285714285,30.773809523809526
NOW,106305658880.0,Technology,60.32934,8.138783,15.488,18.536,13609172.0,100.75,,-0.2398517013825764,17.857142857142858,61.9047619047619,7.142857142857142,28.988095238095237
TSLA,1589218639872.0,Consumer Cyclical,399.54437,19.341326,4.9250003,17.763,71735413.0,423.5585,,-0.0035212644228712867,3.571428571428571,45.238095238095234,26.190476190476193,27.202380952380953
NKE,91739652096.0,Consumer Cyclical,36.239883,6.510843,17.950001,80.099,18011918.0,61.9702,,-0.12423326455236547,34.523809523809526,35.71428571428571,11.904761904761903,25.892857142857142
CMG,49116016640.0,Consumer Cyclical,32.583336,17.117512,47.355000000000004,179.319,19114477.0,37.145,,-0.4366567560687454,22.61904761904762,47.61904761904762,0.0,22.321428571428573
